Customer Name,Complaint Reference,Date Raised,Date Resolved,Complaint Category,Complaint Detail,Resolution,Channel,Region,Handling Team,Contract Value
Customer A1,CMP-10000,03/11/2025,04/11/2025,Billing,Unexplained fee increase,Partially Upheld,Branch,West,Team Bravo,19365
Customer B1,CMP-10001,08/09/2025,08/21/2025,Staff Conduct,Unhelpful response,Partially Upheld,Email,North,Team Alpha,17874
Customer C1,CMP-10002,07/03/2025,07/06/2025,Product Quality,Failed within warranty,Partially Upheld,Branch,North,Team Bravo,6385
Customer D1,CMP-10003,03/25/2025,04/03/2025,Delivery,Damaged in transit,Not Upheld,Email,West,Team Bravo,6278
Customer E1,CMP-10004,07/23/2025,08/28/2025,Billing,Incorrect invoice amount,Partially Upheld,Web Form,South,Team Bravo,12100
Customer F1,CMP-10005,06/26/2025,06/30/2025,Delivery,Damaged in transit,Upheld,Phone,East,Team Bravo,23983
Customer G1,CMP-10006,05/11/2025,05/13/2025,Product Quality,Faulty on arrival,Partially Upheld,Email,West,Team Alpha,17496
Customer H1,CMP-10007,11/15/2025,11/25/2025,Delivery,Late delivery,Upheld,Phone,North,Team Charlie,16961
Northwind Traders,CMP-10008,01/09/2025,01/12/2025,Delivery,Late delivery,Upheld,Phone,South,Team Alpha,184126
Customer J1,CMP-10009,06/07/2025,06/17/2025,Staff Conduct,Unhelpful response,Upheld,Branch,North,Team Alpha,12797
Customer K1,CMP-10010,03/30/2025,05/25/2025,Billing,Incorrect invoice amount,Not Upheld,Phone,North,Team Bravo,9174
Customer L1,CMP-10011,11/01/2025,11/09/2025,Staff Conduct,Unhelpful response,Partially Upheld,Email,South,Team Bravo,13194
Customer M1,CMP-10012,04/09/2025,05/05/2025,Billing,Unexplained fee increase,Partially Upheld,Phone,North,Team Bravo,19761
Customer N1,CMP-10013,06/27/2025,07/08/2025,Staff Conduct,Unhelpful response,Not Upheld,Email,East,Team Bravo,11171
Customer O1,CMP-10014,10/22/2025,12/06/2025,Billing,Unexplained fee increase,Not Upheld,Web Form,North,Team Bravo,21559
Customer P1,CMP-10015,05/07/2025,06/16/2025,Billing,Duplicate charge,Partially Upheld,Branch,North,Team Bravo,5045
Customer Q1,CMP-10016,06/16/2025,07/31/2025,Billing,Unexplained fee increase,Partially Upheld,Email,North,Team Alpha,23301
Customer R1,CMP-10017,04/21/2025,04/26/2025,Staff Conduct,Unhelpful response,Partially Upheld,Email,North,Team Bravo,16466
Northwind Traders,CMP-10018,01/22/2025,01/27/2025,Delivery,Damaged in transit,Upheld,Email,West,Team Bravo,214230
Contoso Group,CMP-10019,06/09/2025,06/13/2025,Product Quality,Below advertised spec,Partially Upheld,Web Form,West,Team Alpha,245428
Northwind Traders,CMP-10020,05/22/2025,05/27/2025,Product Quality,Failed within warranty,Partially Upheld,Email,South,Team Bravo,270041
Fabrikam Holdings,CMP-10021,07/17/2025,08/26/2025,Billing,Duplicate charge,Partially Upheld,Branch,North,Team Bravo,260619
Customer W1,CMP-10022,01/31/2025,03/17/2025,Billing,Incorrect invoice amount,Partially Upheld,Email,North,Team Charlie,13381
Customer X1,CMP-10023,09/07/2025,09/20/2025,Delivery,Item never arrived,Upheld,Phone,West,Team Charlie,6645
Customer Y1,CMP-10024,02/03/2025,03/05/2025,Billing,Duplicate charge,Not Upheld,Phone,North,Team Charlie,10294
Customer Z1,CMP-10025,06/06/2025,06/10/2025,Product Quality,Failed within warranty,Upheld,Email,West,Team Alpha,17315
Customer A2,CMP-10026,02/21/2025,03/02/2025,Delivery,Item never arrived,Upheld,Phone,East,Team Charlie,9745
Customer B2,CMP-10027,11/07/2025,01/01/2026,Billing,Unexplained fee increase,Not Upheld,Branch,East,Team Charlie,9204
Customer C2,CMP-10028,09/11/2025,09/14/2025,Staff Conduct,Unhelpful response,Partially Upheld,Phone,South,Team Charlie,8128
Customer D2,CMP-10029,06/21/2025,06/29/2025,Delivery,Damaged in transit,Upheld,Web Form,North,Team Bravo,4147
Customer E2,CMP-10030,03/14/2025,04/22/2025,Billing,Incorrect invoice amount,Not Upheld,Web Form,East,Team Charlie,17712
Customer F2,CMP-10031,11/03/2025,11/11/2025,Delivery,Damaged in transit,Upheld,Email,North,Team Alpha,25883
Customer G2,CMP-10032,02/16/2025,02/22/2025,Delivery,Damaged in transit,Upheld,Phone,East,Team Bravo,14063
Customer H2,CMP-10033,07/30/2025,08/10/2025,Delivery,Damaged in transit,Upheld,Branch,West,Team Bravo,6945
Customer I2,CMP-10034,05/22/2025,06/24/2025,Billing,Duplicate charge,Not Upheld,Phone,North,Team Bravo,9169
Customer J2,CMP-10035,01/21/2025,03/09/2025,Billing,Unexplained fee increase,Not Upheld,Email,North,Team Bravo,15197
Customer K2,CMP-10036,07/07/2025,07/16/2025,Product Quality,Below advertised spec,Partially Upheld,Phone,West,Team Alpha,9984
Customer L2,CMP-10037,10/16/2025,11/13/2025,Billing,Unexplained fee increase,Not Upheld,Web Form,North,Team Bravo,16115
Customer M2,CMP-10038,05/24/2025,05/27/2025,Delivery,Item never arrived,Upheld,Branch,South,Team Charlie,8618
Customer N2,CMP-10039,05/01/2025,06/18/2025,Billing,Incorrect invoice amount,Not Upheld,Phone,North,Team Bravo,7412
Contoso Group,CMP-10040,08/15/2025,08/22/2025,Product Quality,Faulty on arrival,Upheld,Branch,South,Team Alpha,244013
Customer P2,CMP-10041,07/01/2025,07/04/2025,Staff Conduct,Rude interaction,Partially Upheld,Phone,West,Team Charlie,16603
Customer Q2,CMP-10042,09/13/2025,09/21/2025,Staff Conduct,Promise not honoured,Not Upheld,Email,West,Team Bravo,9698
